"Input Size","Bubble Sort","Pancake Sort","Optimized Bubble Sort","Odd Even Sort","Cocktail Shaker","Gnome Sort","Selection Sort","Binary Insertion Sort","Insertion Sort","Double Selection Sort","Comb Sort","Shell Sort","Heap Sort","In Place Merge Sort","Merge Sort","Quick Sort"
"10","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","33.0","1.0","0.0","0.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
"30","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"40","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"50","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"60","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0"
"70","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"80","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0"
"90","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"100","1.0","1.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"110","2.0","6.0","3.0","4.0","2.0","2.0","2.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0"
"120","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"130","3.0","1.0","2.0","2.0","2.0","1.0","2.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"140","3.0","2.0","3.0","2.0","2.0","2.0","2.0","0.0","1.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0"
"150","4.0","2.0","3.0","2.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0"
"160","1.0","0.0","1.0","1.0","2.0","1.0","0.0","0.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0"
"170","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0"
"180","2.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","2.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0"
"190","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","2.0","4.0","1.0","1.0","0.0","0.0","1.0","0.0"
"200","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0"
"210","1.0","1.0","2.0","1.0","1.0","2.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0"
"220","1.0","3.0","1.0","4.0","2.0","9.0","1.0","2.0","6.0","19.0","1.0","1.0","1.0","0.0","2.0","4.0"
"230","1.0","0.0","1.0","3.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"240","2.0","0.0","1.0","1.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0"
"250","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0"
"260","1.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0"
"270","2.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","1.0","2.0","1.0","3.0","1.0","0.0","0.0","0.0"
"280","2.0","0.0","1.0","2.0","2.0","1.0","0.0","0.0","2.0","5.0","2.0","1.0","0.0","1.0","0.0","0.0"
"290","2.0","5.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","2.0","2.0","1.0","0.0","0.0","0.0"
"300","1.0","1.0","1.0","2.0","2.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0"
"310","1.0","2.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"320","1.0","1.0","2.0","1.0","3.0","1.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0"
"330","2.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0"
"340","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"350","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0"
"360","2.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0"
"370","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"380","1.0","1.0","1.0","2.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"390","1.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0"
"400","1.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"410","1.0","2.0","3.0","2.0","2.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"420","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0"
"430","1.0","2.0","3.0","3.0","1.0","2.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"440","2.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0"
"450","2.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0"
"460","2.0","2.0","1.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"470","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0"
"480","1.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0"
"490","2.0","2.0","2.0","2.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0"
"500","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"510","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"520","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"530","2.0","2.0","2.0","3.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"540","2.0","1.0","1.0","3.0","2.0","2.0","1.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"550","1.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"560","2.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"570","3.0","3.0","5.0","1.0","3.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0"
"580","1.0","3.0","1.0","2.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"590","2.0","3.0","3.0","3.0","2.0","3.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"600","3.0","4.0","3.0","3.0","2.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"610","6.0","4.0","2.0","4.0","4.0","2.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"620","3.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"630","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"640","2.0","3.0","2.0","2.0","2.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"650","2.0","3.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0"
"660","2.0","3.0","1.0","3.0","3.0","3.0","1.0","2.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"670","2.0","3.0","1.0","3.0","2.0","3.0","3.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0"
"680","2.0","3.0","2.0","3.0","2.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"690","2.0","2.0","2.0","2.0","3.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"700","2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0"
"710","3.0","3.0","2.0","3.0","1.0","3.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0"
"720","4.0","4.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","1.0"
"730","2.0","3.0","3.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
"740","2.0","4.0","2.0","2.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0"
"750","4.0","6.0","2.0","4.0","2.0","3.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0"
